i,latencyope,time
774,230.128993,0.161823
775,224.891002,0.162057
776,232.224003,0.162306
777,257.576990,0.162572
778,226.636999,0.162809
779,226.636999,0.163044
780,224.889998,0.163278
781,230.338002,0.163517
782,223.772993,0.163750
783,224.749994,0.163983
784,230.617996,0.164223
785,244.446011,0.164477
786,260.928995,0.164747
787,227.822995,0.164984
788,225.379001,0.165219
789,229.639001,0.165458
790,224.750998,0.165693
791,236.553999,0.165938
792,241.513000,0.166189
793,225.937998,0.166423
794,234.877996,0.166668
795,228.032994,0.166904
796,229.010999,0.167142
797,225.519005,0.167376
798,230.756996,0.167616
799,231.804996,0.167857
800,226.286997,0.168093
801,229.361001,0.168335
802,247.379998,0.168592
803,310.656003,0.168911
804,275.525992,0.169196
805,232.852006,0.169438
806,231.176004,0.169678
807,228.592005,0.169916
808,224.680000,0.170150
809,231.384998,0.170390
810,225.868003,0.170625
811,226.635995,0.170860
812,236.553999,0.171106
813,256.178988,0.171372
814,226.357006,0.171608
815,234.738007,0.171851
816,234.808002,0.172096
817,227.126002,0.172332
818,244.446011,0.172586
819,311.006006,0.172906
820,289.774005,0.173205
821,278.249005,0.173493
822,235.925007,0.173738
823,233.829996,0.173981
824,224.471005,0.174214
825,226.984994,0.174450
826,231.943995,0.174690
827,226.845994,0.174926
828,226.218006,0.175162
829,227.615004,0.175398
830,226.147997,0.175633
831,239.347995,0.175881
832,224.820993,0.176115
833,228.801000,0.176353
834,251.849007,0.176614
835,274.827005,0.176899
836,267.144991,0.177175
837,231.176004,0.177415
838,335.101009,0.177760
839,279.366999,0.178056
840,229.500001,0.178295
841,232.014005,0.178536
842,226.217002,0.178771
843,232.083999,0.179012
844,254.434010,0.179276
845,202.191994,0.179487
846,193.251995,0.179688
847,198.490001,0.179894
848,202.121999,0.180104
849,205.823002,0.180317
850,243.817005,0.180570
851,243.397997,0.180824
852,231.176004,0.181064
853,241.653004,0.181315
854,227.964003,0.181553
855,226.078002,0.181788
856,227.124998,0.182024
857,225.448995,0.182259
858,242.700000,0.182560
859,246.053009,0.182815
860,235.087005,0.183060
861,230.688005,0.183299
862,236.553999,0.183545
863,230.546997,0.183785
864,221.957001,0.184016
865,234.598003,0.184259
866,227.265002,0.184495
867,238.509005,0.184754
868,231.525002,0.184995
869,226.566000,0.185231
870,232.573002,0.185472
871,225.658994,0.185707
872,221.887996,0.185937
873,229.498997,0.186175
874,229.779005,0.186413
875,228.313002,0.186650
876,221.957001,0.186881
877,226.635995,0.187115
878,231.386002,0.187356
879,226.916003,0.187591
880,241.372996,0.187841
881,248.427008,0.188098
882,235.157000,0.188343
883,249.823992,0.188601
884,231.037004,0.188841
885,230.407997,0.189082
886,223.772993,0.189315
887,242.002003,0.189565
888,227.124998,0.189802
889,235.646003,0.190046
890,227.544995,0.190283
891,228.592005,0.190520
892,230.827005,0.190760
893,223.772993,0.190993
894,224.192001,0.191227
895,231.943995,0.191467
896,232.014994,0.191708
897,227.334996,0.191944
898,224.959993,0.192178
899,221.398004,0.192408
900,263.931986,0.192680
901,229.290003,0.192923
902,228.592995,0.193161
903,224.681004,0.193394
904,225.658005,0.193628
905,236.484004,0.193873
906,225.169002,0.194108
907,224.681004,0.194341
908,221.537994,0.194572
909,232.083999,0.194813
910,224.959993,0.195046
911,233.270999,0.195288
912,238.089997,0.195536
913,228.521996,0.195773
914,236.064996,0.196040
915,226.147007,0.196275
916,233.829996,0.196518
917,258.065003,0.196785
918,229.151003,0.197024
919,232.363003,0.197265
920,237.183005,0.197512
921,222.935007,0.197744
922,238.020002,0.197990
923,227.683995,0.198228
924,229.989004,0.198467
925,223.772993,0.198699
926,227.124998,0.198935
927,231.245998,0.199175
928,224.261006,0.199409
929,448.523992,0.199867
930,1599.585055,0.201477
931,589.604024,0.202085
932,754.081993,0.202855
933,962.070015,0.203830
934,367.367000,0.204208
935,175.791996,0.204391
936,175.791007,0.204572
937,164.198005,0.204741
938,155.468006,0.204901
939,150.578999,0.205057
940,154.490001,0.205216
941,157.353003,0.205378
942,153.303001,0.205536
943,152.185006,0.205693
944,155.467002,0.205852
945,154.559995,0.206011
946,155.397996,0.206171
947,153.860994,0.206330
948,154.908994,0.206490
949,156.933995,0.206651
950,275.734987,0.206932
951,210.921993,0.207153
952,196.046007,0.207357
953,196.883993,0.207562
954,201.564006,0.207771
955,195.347995,0.207974
956,196.045003,0.208177
957,197.443005,0.208382
958,220.140995,0.208609
959,204.915996,0.208822
960,196.674999,0.209026
961,197.023997,0.209230
962,634.303025,0.209872
963,526.258023,0.210409
964,267.355004,0.210692
965,227.823999,0.210930
966,232.991995,0.211173
967,226.567005,0.211408
968,229.989004,0.211646
969,198.281006,0.211851
970,193.811007,0.212053
971,195.835994,0.212256
972,197.233006,0.212461
973,226.147007,0.212694
974,287.958013,0.212990
975,206.522003,0.213206
976,202.401003,0.213416
977,196.185007,0.213620
978,198.420996,0.213826
979,197.233006,0.214031
980,206.662007,0.214245
981,199.468006,0.214452
982,196.534995,0.214656
983,198.000998,0.214861
984,196.883993,0.215065
985,195.137996,0.215268
986,223.284005,0.215499
987,221.816998,0.215730
988,229.219993,0.215968
989,226.147007,0.216203
990,221.887007,0.216433
991,273.151003,0.216716
992,222.375995,0.216948
993,231.735001,0.217189
994,223.284005,0.217420
995,224.749994,0.217654
996,225.240001,0.217888
997,222.935007,0.218120
998,225.309996,0.218355
999,223.145005,0.218587
1000,263.863010,0.218860
1001,192.692998,0.219067
1002,186.338002,0.219258
1003,187.525002,0.219450
1004,184.032993,0.219640
1005,184.242002,0.219828
1006,187.037003,0.220020
1007,183.614000,0.220209
1008,190.598003,0.220404
1009,200.934999,0.220609
1010,193.182001,0.220807
1011,188.432998,0.221000
1012,182.076998,0.221187
1013,188.642996,0.221380
1014,180.261006,0.221565
1015,186.827005,0.221757
1016,184.870994,0.221946
1017,185.149998,0.222136
1018,184.941004,0.222326
1019,188.712002,0.222519
1020,187.176003,0.222710
1021,183.823999,0.222899
1022,181.588999,0.223086
1023,186.896999,0.223277
1024,185.989004,0.223468
1025,185.151002,0.223658
1026,183.614000,0.223846
1027,313.939003,0.224209
1028,187.804995,0.224402
1029,218.464993,0.224625
1030,188.573002,0.224818
1031,181.797994,0.225005
1032,186.267003,0.225196
1033,189.201004,0.225390
1034,184.032993,0.225578
1035,184.591001,0.225768
1036,182.078002,0.225954
1037,188.363003,0.226147
1038,185.500001,0.226338
1039,183.822995,0.226527
1040,183.614000,0.226715
1041,185.640005,0.226905
1042,187.525002,0.227097
1043,185.918994,0.227288
1044,181.448995,0.227474
1045,188.224003,0.227667
1046,183.404001,0.227856
1047,186.895995,0.228047
1048,184.731005,0.228236
1049,185.710000,0.228427
1050,210.572995,0.228642
1051,188.363003,0.228836
1052,186.406993,0.229027
1053,182.147007,0.229213
1054,186.407997,0.229405
1055,186.197998,0.229596
1056,184.032993,0.229784
1057,184.242002,0.229974
1058,180.821007,0.230159
1059,186.267993,0.230350
1060,188.503007,0.230543
1061,183.614000,0.230732
1062,182.566000,0.230920
1063,186.966005,0.231111
1064,185.009994,0.231301
1065,185.918994,0.231491
1066,184.521996,0.231680
1067,181.030002,0.231866
1068,184.521996,0.232055
1069,186.687001,0.232247
1070,184.662000,0.232437
1071,205.195000,0.232646
1072,190.808001,0.232842
1073,186.338002,0.233033
1074,184.592005,0.233223
1075,181.658004,0.233410
1076,185.500001,0.233600
1077,187.943995,0.233793
1078,183.334996,0.233981
1079,187.804006,0.234173
1080,181.448006,0.234359
1081,187.105994,0.234551
1082,188.503007,0.234744
1083,183.055003,0.234932
1084,183.126002,0.235121
1085,186.197998,0.235311
1086,186.338002,0.235502
1087,186.477002,0.235694
1088,183.822995,0.235882
1089,183.475000,0.236070
1090,179.702998,0.236255
1091,183.195007,0.236443
1092,211.830004,0.236660
1093,184.731005,0.236849
1094,188.292994,0.237043
1095,185.500001,0.237233
1096,185.219993,0.237423
1097,182.007003,0.237609
1098,183.962999,0.237798
1099,186.966005,0.237990
1100,185.220997,0.238179
1101,186.477002,0.238374
